335;100000
216;110000
206;120000
188;130000
184;140000
187;150000
183;160000
186;170000
184;180000
185;190000
186;200000
190;210000
193;220000
189;230000
184;240000
166;250000
164;260000
164;270000
162;280000
164;290000
165;300000
166;310000
166;320000
163;330000
162;340000
167;350000
177;360000
168;370000
162;380000
161;390000
164;400000
161;410000
165;420000
165;430000
168;440000
162;450000
164;460000
162;470000
163;480000
167;490000
148;500000
154;510000
158;520000
151;530000
148;540000
150;550000
148;560000
151;570000
149;580000
152;590000
152;600000
151;610000
151;620000
148;630000
148;640000
151;650000
162;660000
153;670000
148;680000
150;690000
149;700000
148;710000
148;720000
164;730000
168;740000
166;750000
168;760000
169;770000
166;780000
168;790000
169;800000
179;810000
171;820000
167;830000
166;840000
176;850000
167;860000
169;870000
169;880000
170;890000
178;900000
168;910000
168;920000
166;930000
168;940000
167;950000
168;960000
167;970000
169;980000
169;990000
